GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PRESLAR,G20PREOHAM,G20PREOFUE,G20USSDBOO,G20USSRMEH,G20USSGHOF,G20USSOFER,G20USSOBUR
34039095013,34,039,095013,270.34,140.56,1.63,1.37,0.22,0.07,0.1,0.31,268.28,130.41,3.05,3.17,0.62
34039095014,34,039,095014,281.45,99.75,1.36,1.33,0.16,0.03,0.04,0.36,279.68,91.44,2.5,2.95,0.64
34039095015,34,039,095015,333.29,83.94,1.36,1.5,0.14,0,0,0.44,331.48,75.75,2.46,3.24,0.75
34039095016,34,039,095016,95.87,49.85,0.58,0.49,0.08,0.03,0.03,0.11,95.14,46.24,1.08,1.12,0.22
34039095017,34,039,095017,767.46,194.64,3.12,3.42,0.31,0.01,0.01,1.05,763.3,175.61,5.69,7.43,1.73
34039095018,34,039,095018,126.37,31.83,0.52,0.57,0.05,0,0,0.17,125.68,28.72,0.93,1.23,0.28
34039095019,34,039,095019,421.64,219.23,2.55,2.13,0.34,0.11,0.15,0.49,418.42,203.39,4.76,4.94,0.97
34039095020,34,039,095020,318.73,165.74,1.93,1.61,0.25,0.08,0.11,0.37,316.3,153.78,3.6,3.74,0.74
34039095021,34,039,095021,308.96,160.64,1.87,1.56,0.25,0.08,0.11,0.36,306.6,149.03,3.49,3.62,0.71
34039095022,34,039,095022,1085.33,273.33,4.44,4.89,0.44,0,0,1.44,1079.44,246.67,8,10.56,2.44
34039095023,34,039,095023,444.82,231.28,2.69,2.25,0.36,0.12,0.16,0.51,441.42,214.57,5.02,5.22,1.03
34039095024,34,039,095024,281.36,147.01,1.74,1.43,0.23,0.07,0.1,0.33,279.11,136.69,3.17,3.3,0.66
34039095025,34,039,095025,411.89,214.33,2.49,2.09,0.33,0.11,0.15,0.48,408.74,198.84,4.65,4.83,0.95
34039095026,34,039,095026,410.29,213.32,2.48,2.08,0.33,0.11,0.15,0.47,407.15,197.91,4.63,4.81,0.95
34039095027,34,039,095027,309.93,78.05,1.27,1.4,0.13,0,0,0.41,308.25,70.44,2.28,3.01,0.7
34039095028,34,039,095028,429.58,108.19,1.76,1.94,0.18,0,0,0.57,427.24,97.63,3.17,4.18,0.97
34039095029,34,039,095029,217.64,113.16,1.31,1.1,0.17,0.06,0.08,0.25,215.98,104.98,2.45,2.55,0.5
34039095030,34,039,095030,763.1,396.77,4.61,3.86,0.61,0.2,0.27,0.88,757.27,368.1,8.61,8.95,1.76
34039095031,34,039,095031,446.76,173.53,2.34,2.12,0.29,0.06,0.09,0.61,443.81,159.26,4.16,5.08,1.03
34039095032,34,039,095032,180.83,94.02,1.09,0.92,0.14,0.05,0.06,0.21,179.45,87.23,2.04,2.12,0.42
34039095033,34,039,095033,173.77,43.76,0.71,0.78,0.07,0,0,0.23,172.82,39.49,1.28,1.69,0.39
34039095034,34,039,095034,150.98,38.02,0.62,0.68,0.06,0,0,0.2,150.16,34.31,1.11,1.47,0.34
34039095035,34,039,095035,624.74,324.83,3.77,3.16,0.5,0.17,0.22,0.72,619.97,301.36,7.05,7.32,1.44
34039095036,34,039,095036,456.81,237.52,2.76,2.31,0.37,0.12,0.16,0.53,453.32,220.35,5.15,5.36,1.05
34039095037,34,039,095037,541.6,281.6,3.27,2.74,0.43,0.14,0.19,0.63,537.46,261.25,6.11,6.35,1.25
34039095038,34,039,095038,483.13,121.67,1.98,2.18,0.2,0,0,0.64,480.51,109.8,3.56,4.7,1.09
34039095039,34,039,095039,337.85,85.08,1.38,1.52,0.14,0,0,0.45,336.02,76.78,2.49,3.29,0.76
34039095040,34,039,095040,704.18,177.34,2.88,3.17,0.29,0,0,0.94,700.36,160.04,5.19,6.85,1.59
34039095042,34,039,095042,319.05,80.35,1.31,1.44,0.13,0,0,0.42,317.32,72.51,2.35,3.1,0.72
34039095043,34,039,095043,209.83,109.1,1.27,1.06,0.17,0.06,0.07,0.24,208.22,101.21,2.37,2.46,0.48
34039095044,34,039,095044,264.44,137.49,1.6,1.34,0.21,0.07,0.09,0.31,262.42,127.56,2.98,3.1,0.61
34039095045,34,039,095045,366.67,190.64,2.21,1.86,0.29,0.1,0.13,0.42,363.87,176.87,4.14,4.3,0.85
34039095046,34,039,095046,561.13,291.76,3.39,2.84,0.45,0.15,0.2,0.65,556.85,270.67,6.33,6.58,1.3
34039095047,34,039,095047,292.61,152.14,1.77,1.48,0.23,0.08,0.1,0.34,290.37,141.14,3.3,3.43,0.68
34039095048,34,039,095048,63.16,32.84,0.38,0.32,0.05,0.02,0.02,0.07,62.67,30.46,0.71,0.74,0.15
34039095049,34,039,095049,663.95,167.21,2.72,2.99,0.27,0,0,0.88,660.35,150.9,4.89,6.46,1.5
